userId,AV000tWuGV-KLJ3ac2-b,AV00l7jV-jtxr-f30lnX,AV00lzP7GV-KLJ3ac0uk,AV00lzd5GV-KLJ3ac0ul,AV1Nik13-jtxr-f31AFO,AV1T0-J7vKc47QAVgf2T,AV1T09XZ-jtxr-f31CoT,AV1T09fyvKc47QAVgf2R,AV1T0_7M-jtxr-f31CoX,AV1T0_ti-jtxr-f31CoV,AV1T0_tnvKc47QAVgf2V,AV1T19jBvKc47QAVgf3S,AV1T19jOglJLPUi8H8Y9,AV1T19k3GV-KLJ3adSMS,AV1T19kvglJLPUi8H8Y-,AV1T19lYglJLPUi8H8Y_,AV1T19mDGV-KLJ3adSMT,AV1T1nJ_GV-KLJ3adSMC,AV1T1nQ_vKc47QAVgf3G,AV1T1nR5-jtxr-f31CpL,AV1T1nRJ-jtxr-f31CpK,AV1T1nRPvKc47QAVgf3H,AV1T1nRwvKc47QAVgf3I,AV1T1nWFGV-KLJ3adSMD,AV1T1nWrglJLPUi8H8Yz,AV1T1naH-jtxr-f31CpM,AV1T1u7jvKc47QAVgf3J,AV29VS9cvKc47QAVp03c,AV29ePzlGV-KLJ3amjUT,AV2Mus6LGV-KLJ3alnyc,AV3as-VX-jtxr-f3_PPu,AV3atCk2glJLPUi8SQna,AVpe6TZCilAPnD_xQrVy,AVpe7AsMilAPnD_xQ78G,AVpe7LD5LJeJML43ybWA,AVpf0MlqLJeJML43EQEi,AVpfAVXdLJeJML430RhN,AVpfBEWcilAPnD_xTGb7,AVpfLiCSilAPnD_xWpk_,AVpfODXeilAPnD_xXeUd,AVpff7_VilAPnD_xc1E_,AVpfldWhLJeJML43_7zF,AVpfo9ukilAPnD_xfhuj,AVpfpK8KLJeJML43BCuD,AVpfpzCi1cnluZ0-oxEr,AVpg4dIu1cnluZ0-7fWM,AVpgKkzMLJeJML43J5BV,AVpge-anilAPnD_xtDVf,AVph5AshLJeJML43f_fT,AVphEeRyilAPnD_x035P,AVph_N4z1cnluZ0-IkrF,AVpik9dz1cnluZ0-OmaB,AVpjWh8e1cnluZ0-Vy0O,AVqCB9kvnnc1JgDc3JFU,AVqCFeGxv8e3D1O-lK7-,AVsRilrqnnc1JgDc34jd,AVsRinWmQMlgsOJE6zxC,AVsRipBGv8e3D1O-lxRe,AVsRjfwAU2_QcyX9PHqe,AVzRkFTFvKc47QAVd43-,AVzRlo37glJLPUi8FbPy,AVzRloqLGV-KLJ3aavBd,AVzRlpC2vKc47QAVd5FA,AVzRlpC8glJLPUi8FbQA,AVzRlpElvKc47QAVd5FB,AVzRlqklGV-KLJ3aavB0
1-Apr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1soni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25Firefighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5bros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Dent Aragorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A. Younan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A.C,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0
